timestamp_epoch_ms	direction	message
1789134186579	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134186579	RX	Acknowledgement(sequence=1, duplicate=false)
1789134186580	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134187079	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134187079	RX	Acknowledgement(sequence=1, duplicate=false)
1789134187080	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134187579	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134187579	RX	Acknowledgement(sequence=1, duplicate=false)
1789134187580	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134188080	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134188081	RX	Acknowledgement(sequence=1, duplicate=false)
1789134188082	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134188581	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134188581	RX	Acknowledgement(sequence=1, duplicate=false)
1789134188582	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134189083	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134189083	RX	Acknowledgement(sequence=1, duplicate=false)
1789134189084	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134189583	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134189583	RX	Acknowledgement(sequence=1, duplicate=false)
